Graph,NoneLowestScore,VertexLowestScore,EdgeLowestScore,FullLowestScore,NoneTime,VertexTime,EdgeTime,FullTime
random02.edges,129,111,73,73,7111548,6657089,5416877,8930880
random03.edges,,,326439,326439,,,33924977933,66459626875
random101.edges,15,15,15,15,902482,909861,1944843,2661373
random102.edges,199,159,183,151,7514254,5176347,5781617,6794868
random103.edges,52353,19311,10563,10539,1797629377,752851577,459711356,375443750
random104.edges,319,107,145,107,10956655,3683035,5241278,8028879
random105.edges,13447,4827,1069,1069,300278137,147629497,41538609,41626548
random106.edges,3523,2675,1141,1141,137558684,109104492,50085322,108339464
random107.edges,1863,1223,1471,1183,63346520,48486468,53693997,54810903
random108.edges,27619,12029,4011,4011,805328194,572217683,205214843,199994799
random109.edges,6455,3135,2359,2359,195269138,109462234,84742341,73782615
random110.edges,421663,133547,53971,53955,12925019239,7884123287,3441229828,2725913116
random111.edges,,,135811,135809,,,8885811059,16495816183
random112.edges,2751,2011,1833,1825,100693195,71083170,65659624,58738217
random113.edges,1359,587,515,515,43602147,28626770,25607936,33219089
random114.edges,1019,1019,233,233,63381679,64138909,14149820,70242301
random115.edges,,,1020407,1018495,,,50051228390,35098884448
random116.edges,11291,6927,1577,1577,389411425,270512488,67413046,130550592
random117.edges,2819,1555,769,769,79628554,61321946,34038898,81359325
random118.edges,103131,34025,31287,27047,3105935520,1568025382,1438165963,2227046164
random119.edges,426719,166929,17853,17775,16450798194,8208317232,941621087,1335316317
random120.edges,,520451,69861,69861,,27605130423,4740727123,3580112454
random15.edges,89,81,41,41,9340600,5521198,3657385,9686992
random18.edges,,,336655,336639,,,30541117563,79592794193
random19.edges,15,15,13,13,1836918,2425644,1849573,4031134
random21.edges,3,3,3,3,574132,387860,575280,2642663
random24.edges,15,9,15,9,1594357,934851,1056201,4352356
random29.edges,695,693,685,685,65060708,67719955,67167926,88212394
random35.edges,13103,6707,3241,3241,644834605,396247203,211656950,169421911
random37.edges,3,3,3,3,474812,281501,280821,1821642
random38.edges,111,67,67,59,7086242,5282417,3850406,9069751
random43.edges,7,7,5,5,973485,1249491,502161,2738374
random46.edges,3,3,3,3,749013,1071622,894491,5699197
random49.edges,135,127,127,127,9405211,9923404,9225333,14148598
random50.edges,5,5,5,5,907594,944631,1591772,6837519
random56.edges,175,175,175,175,13564990,12925678,13153709,28873244
random57.edges,599,599,599,599,92792401,94723722,97783548,173624246
random58.edges,5,3,3,3,838644,485581,659561,4030974
random64.edges,23,15,9,9,1500587,976331,553831,2510493
random74.edges,79,39,67,39,2879552,1879932,3798395,4543165
random83.edges,22223,8609,3387,3363,856020202,420197455,181340188,142867140
random98.edges,659,473,243,243,36684763,28034559,15584642,18193082
random99.edges,3271,1507,1351,943,184622738,98528447,87859744,66363429